Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number	Number_uncertain	Number_with_conflicts
ABCC2	1244	1558	1105	1539	172	601107	255	100
ABCC3	8714	105	101	96	-	604323	71	0
ABCC4	10257	153	152	62	1	605250	55	0
ABCC5	10057	103	102	61	1	605251	56	0
ABCC5-AS1	100873982	18	18	-	1	-	1	0
ABCC6	368	2822	1804	2468	340	603234	691	44
ABCC8	6833	5224	2435	5204	400	600509	416	420
ABCC9	10060	2980	1754	2936	33	601439	796	90
ABCD1	215	2787	1741	2535	455	300371	405	111
ABCD2	225	52	52	31	-	601081	40	0
ABCD3	5825	151	138	141	1	170995	66	1
ABCD4	5826	590	448	571	23	603214	144	10
ABCE1	6059	42	42	12	-	601213	11	0
ABCF1	23	50	50	44	-	603429	38	0
ABCF2	10061	90	90	12	1	612510	19	0
ABCF2-H2BK1	114483834	47	47	12	1	-	13	0
ABCF3	55324	78	77	35	-	618967	37	0
ABCG1	9619	146	134	51	4	603076	25	0
ABCG2	9429	80	68	54	1	603756	25	1
ABCG4	64137	64	58	22	-	607784	24	0
ABCG5	64240	1237	705	1125	51	605459	337	49
ABCG8	64241	1459	768	1437	51	605460	358	85
ABHD1	84696	49	48	27	-	612195	32	0
ABHD10	55347	33	33	16	-	618756	16	0
ABHD11	83451	195	187	28	1	-	29	0
ABHD11-AS1	171022	166	158	-	-	612545	5	0
ABHD12	26090	730	560	685	51	613599	239	29
ABHD12B	145447	40	40	25	-	-	27	0
ABHD13	84945	133	133	16	-	-	24	0
ABHD14A	25864	34	34	25	-	618771	27	0
ABHD14A-ACY1	100526760	248	177	21	11	-	92	1
ABHD14B	84836	23	23	15	-	-	15	0
ABHD15	116236	45	45	34	-	619894	35	0
ABHD16A	7920	60	55	51	4	142620	36	0
ABHD16B	140701	97	95	48	-	620190	57	0
ABHD17A	81926	53	53	19	-	617942	27	0
ABHD17B	51104	50	50	6	-	617943	14	0
ABHD17C	58489	38	37	12	-	617944	19	0
ABHD18	80167	63	61	18	2	-	27	0
ABHD2	11057	59	57	20	1	612196	19	0
ABHD3	171586	52	50	16	-	612197	19	0
ABHD4	63874	42	42	17	-	619728	19	0
ABHD5	51099	364	315	357	30	604780	154	11
ABHD6	57406	27	27	15	-	616966	18	0
ABHD8	79575	36	36	19	-	-	26	0
ABI1	10006	37	35	15	1	603050	17	0
ABI2	10152	47	43	14	-	606442	14	1
ABI3	51225	38	38	25	-	606363	23	0
ABI3BP	25890	75	75	62	-	606279	60	0
ABITRAM	54942	58	58	11	-	620392	24	0
ABL1	25	734	615	671	47	189980	153	11
ABL2	27	77	74	49	1	164690	44	0
ABLIM1	3983	85	85	52	1	602330	54	0
ABLIM2	84448	130	130	56	-	612544	55	0
ABLIM3	22885	71	69	55	-	611305	54	0
ABO	28	73	76	34	-	110300	8	0
ABR	29	174	174	46	28	600365	66	0
ABR-AS1	105371479	38	38	-	-	-	3	0
ABRA	137735	80	80	39	-	609747	41	0
ABRACL	58527	21	21	6	-	-	8	0
ABRAXAS1	84142	1105	785	1060	1	611143	465	28
ABRAXAS2	23172	84	84	24	1	611144	27	0
ABT1	29777	29	29	20	-	618750	25	0
ABTB1	80325	61	60	45	-	608308	47	0
ABTB2	25841	99	99	76	1	-	81	0
ABTB3	121551	91	91	77	-	-	76	0
ACAA1	30	49	48	33	-	604054	31	0
ACAA2	10449	69	67	26	-	604770	27	0
ACACA	31	440	386	296	4	200350	114	2
ACACB	32	330	294	305	1	601557	171	5
ACAD10	80724	81	81	68	-	611181	67	0
ACAD11	84129	66	66	41	2	614288	47	0
ACAD8	27034	472	360	371	31	604773	129	23
ACAD9	28976	1466	1039	1445	176	611103	194	47
ACAD9-DT	123706524	11	11	-	-	-	4	0
ACADL	33	86	76	59	-	609576	33	3
ACADM	34	1777	894	1751	314	607008	188	65
ACADS	35	803	453	786	87	606885	184	35
ACADSB	36	480	359	426	30	600301	147	17
ACADVL	37	3682	1910	3625	465	609575	548	144
ACAN	176	1584	1139	1547	128	155760	542	34
ACAP1	9744	77	75	43	1	607763	49	0
ACAP2	23527	63	63	18	2	607766	26	0
ACAP3	116983	214	206	56	-	-	71	0
ACAT1	38	1087	742	1067	212	607809	137	26
ACAT2	39	59	58	33	1	100678	28	0
ACBD3	64746	58	57	21	1	606809	23	0
ACBD3-AS1	107985353	22	22	-	-	-	8	0
ACBD4	79777	40	40	24	-	619968	30	0
ACBD5	91452	487	429	442	24	616618	178	8
ACBD6	84320	176	143	18	12	616352	66	0
ACBD7	414149	26	26	7	-	-	5	0
ACBD7-DCLRE1CP1	108949267	33	33	-	-	-	22	0
ACCS	84680	54	54	33	-	608405	35	0
ACCSL	390110	58	58	37	-	-	40	0
ACD	65057	1634	1186	1599	3	609377	648	19
ACE	1636	869	568	852	46	106180	244	41
ACE2	59272	221	211	19	-	300335	37	0
ACE2-DT	104798195	87	83	-	-	-	2	0
ACER1	125981	28	28	17	-	613491	19	0
ACER2	340485	116	115	24	2	613492	31	0
ACER3	55331	99	86	91	5	617036	38	0
ACHE	43	56	54	33	-	100740	21	0
ACIN1	22985	97	96	74	-	604562	74	0
ACKR1	2532	38	32	26	3	613665	16	0
ACKR2	1238	14	14	8	-	602648	9	0
ACKR3	57007	103	102	28	5	610376	27	0
ACKR4	51554	20	20	4	-	606065	9	0
ACLY	47	66	66	60	-	108728	54	0
ACMSD	130013	47	46	33	-	608889	28	0
ACO1	48	122	121	55	-	100880	51	0
ACO2	50	987	772	951	76	100850	331	14
ACOD1	730249	75	75	5	-	615275	2	0
ACOT1	641371	130	126	38	1	614313	89	2
ACOT11	26027	126	126	49	-	606803	87	0
ACOT12	134526	58	58	44	-	614315	46	0
ACOT13	55856	19	19	10	-	615652	13	0
ACOT2	10965	60	59	45	1	609972	41	0
ACOT4	122970	48	48	33	-	614314	34	0
ACOT6	641372	22	22	10	-	614267	10	0
ACOT7	11332	86	86	27	3	602587	23	0
ACOT8	10005	31	31	23	-	608123	21	0
ACOT9	23597	182	173	22	1	300862	23	0
ACOX1	51	1031	836	1008	82	609751	284	22
ACOX2	8309	275	226	256	2	601641	110	10
ACOX3	8310	167	165	84	1	603402	68	1
ACOXL	55289	107	105	39	1	-	60	0
ACOXL-AS1	400997	18	16	-	-	-	12	0
ACP1	52	72	72	14	-	171500	24	0
ACP2	53	48	48	34	-	171650	23	0
ACP3	55	39	39	25	-	171790	24	0
ACP4	93650	85	80	68	9	606362	40	1
ACP5	54	407	317	386	35	171640	155	5
ACP6	51205	328	317	31	2	611471	29	0
ACP7	390928	15	14	3	-	610490	6	0
ACR	49	198	194	29	45	102480	28	0
ACRBP	84519	74	73	26	-	608352	31	0
ACRV1	56	73	72	8	-	102525	12	0
ACSBG1	23205	84	80	45	-	614362	47	0
ACSBG2	81616	51	51	41	-	614363	36	0
ACSF2	80221	56	56	28	1	610465	40	0
ACSF3	197322	1532	1051	1430	188	614245	222	21
ACSL1	2180	147	147	35	-	152425	38	0
ACSL3	2181	56	55	23	-	602371	18	0
ACSL3-AS1	105373904	11	11	-	-	-	-	-
ACSL4	2182	344	294	171	13	300157	83	8
ACSL5	51703	68	68	38	1	605677	33	0
ACSL6	23305	50	48	31	-	604443	20	0
ACSL6-AS1	101927693	7	7	-	-	-	-	-
ACSM1	116285	63	63	41	-	614357	41	0
ACSM2A	123876	68	68	47	-	614358	49	0
ACSM2B	348158	47	47	26	-	614359	29	0
ACSM3	6296	108	101	38	8	145505	68	0
ACSM4	341392	78	74	26	-	614360	32	0
ACSM5	54988	64	64	43	-	614361	44	0
ACSM6	142827	58	58	26	-	-	36	0
ACSS1	84532	56	56	34	-	614355	33	0
ACSS2	55902	72	69	58	-	605832	40	0
ACSS3	79611	55	55	39	-	614356	43	0
ACTA1	58	841	558	798	193	102610	157	34
ACTA2	59	1174	618	1129	39	102620	297	34
ACTA2-AS1	100132116	427	238	-	10	-	132	0
ACTB	60	892	585	837	118	102630	127	19
ACTBL2	345651	42	42	27	-	614835	31	0
ACTC1	70	1692	789	1666	21	102540	387	50
ACTE1P	399923	2	2	-	-	-	1	0
ACTG1	71	1102	576	1078	53	102560	117	27
ACTG2	72	183	96	162	38	102545	34	2
ACTL10	170487	30	30	15	-	-	16	0
ACTL6A	86	66	61	36	-	604958	25	1
ACTL6B	51412	189	137	164	45	612458	49	4
ACTL7A	10881	79	79	39	6	604303	36	0
ACTL7B	10880	74	74	35	-	604304	34	0
ACTL8	81569	44	44	20	-	-	27	0
ACTL9	284382	46	46	37	3	619251	35	0
ACTMAP	284325	18	15	6	-	620093	7	0
ACTN1	87	470	382	458	24	102575	155	12
ACTN1-DT	161159	3	3	-	-	-	-	-
ACTN2	88	2975	1540	2916	21	102573	669	185
ACTN3	89	136	130	119	-	102574	84	2
ACTN4	81	617	382	578	15	604638	119	12
ACTR10	55860	36	36	20	-	619731	20	0
ACTR1A	10121	25	25	5	-	605143	7	0
ACTR1B	10120	49	49	26	-	605144	29	0
ACTR2	10097	25	25	9	1	604221	11	0
ACTR3	10096	24	24	8	1	604222	8	0
ACTR3B	57180	98	98	8	2	-	25	0
ACTR3C	653857	92	92	21	4	-	26	0
ACTR5	79913	40	40	33	-	619730	33	0
ACTR6	64431	26	26	11	-	619729	18	0
ACTR8	93973	56	56	33	-	619716	46	0
ACTRT1	139741	224	210	40	-	300487	32	2
ACTRT2	140625	170	165	27	-	608535	52	0
ACTRT3	84517	52	52	27	1	608534	30	0
ACVR1	90	419	328	396	14	102576	136	5
ACVR1B	91	30	30	20	4	601300	18	0
ACVR1C	130399	77	74	55	1	608981	20	0
ACVR2A	92	47	47	15	6	102581	13	0
ACVR2B	93	450	367	433	1	602730	209	3
ACVR2B-AS1	100128640	18	16	-	-	-	7	0
ACVRL1	94	1753	1007	1725	481	601284	208	51
ACY1	95	233	162	223	12	104620	73	10
ACY3	91703	49	48	28	-	614413	32	0
ACYP1	97	48	20	31	-	600875	4	1
ACYP2	98	75	75	10	-	102595	41	0
ADA	100	1220	669	1210	166	608958	142	14
ADA2	51816	891	581	811	76	607575	240	14
ADAD1	132612	42	42	19	-	614130	21	0
ADAD2	161931	132	132	68	1	619532	79	0
ADAL	161823	41	40	13	1	619346	25	0
ADAM10	102	96	94	75	6	602192	36	0
ADAM11	4185	52	52	43	1	155120	40	0
ADAM12	8038	128	128	56	1	602714	48	0
ADAM15	8751	90	85	70	-	605548	62	0
ADAM15-EFNA4	125467744	105	102	-	-	-	75	0
ADAM17	6868	606	537	583	22	603639	219	2
ADAM18	8749	94	93	36	1	619495	36	1
ADAM19	8728	90	90	72	-	603640	62	0
ADAM2	2515	96	96	37	1	601533	42	0
ADAM20	8748	56	56	46	-	603712	43	0
ADAM21	8747	52	52	41	-	603713	38	0
ADAM22	53616	131	110	111	7	603709	48	1
ADAM23	8745	79	79	51	1	603710	41	0
ADAM28	10863	138	137	53	1	606188	44	0
ADAM29	11086	125	125	49	1	604778	47	0
ADAM30	11085	63	62	42	-	604779	51	0
ADAM32	203102	107	107	48	2	618602	42	0
ADAM33	80332	104	102	58	-	607114	58	0
ADAM7	8756	139	139	51	1	607310	55	0
ADAM7-AS1	101929294	184	183	-	-	-	117	0
ADAM7-AS2	101929315	70	70	-	-	-	29	0
ADAM8	101	206	206	93	-	602267	86	0
ADAM9	8754	656	555	590	27	602713	237	20
ADAMDEC1	27299	121	121	36	-	606393	32	0
ADAMTS1	9510	150	145	77	1	605174	57	0
ADAMTS10	81794	1045	850	1037	31	608990	330	36
ADAMTS12	81792	141	141	109	-	606184	101	0
ADAMTS13	11093	1168	792	1113	87	604134	272	53
ADAMTS14	140766	133	133	118	-	607506	101	0
ADAMTS15	170689	153	153	72	4	607509	63	0
ADAMTS16	170690	201	201	83	3	607510	75	0
ADAMTS16-DT	101929176	48	48	-	-	-	-	-
ADAMTS17	170691	1630	1309	1522	63	607511	517	67
ADAMTS18	170692	1319	1189	1249	56	607512	595	12
ADAMTS19	171019	113	109	88	8	607513	71	2
ADAMTS19-AS1	103689846	7	7	-	-	-	1	0
ADAMTS2	9509	2734	1806	2681	101	604539	535	85
ADAMTS20	80070	123	123	109	-	611681	97	0
ADAMTS3	9508	170	149	140	4	605011	80	1
ADAMTS4	9507	83	81	61	-	603876	66	0
ADAMTS5	11096	138	133	61	-	605007	61	0
ADAMTS6	11174	66	66	46	2	605008	46	0
ADAMTS7	11173	203	200	179	-	605009	144	1
ADAMTS8	11095	143	143	62	1	605175	62	0
ADAMTS9	56999	415	350	404	1	605421	158	6
ADAMTS9-AS1	101929335	20	19	-	1	-	4	0
ADAMTS9-AS2	100507098	35	27	-	2	-	11	0
ADAMTSL1	92949	267	260	167	10	609198	140	2
ADAMTSL2	9719	438	313	396	21	612277	167	20
ADAMTSL3	57188	243	239	198	1	609199	107	0
ADAMTSL4	54507	1778	1240	1760	129	610113	457	48
ADAMTSL4-AS1	574406	3	3	-	-	-	-	-
ADAMTSL4-AS2	100289061	1062	784	-	82	-	280	0
ADAMTSL5	339366	80	80	49	-	-	54	0
ADAP1	11033	79	79	21	-	608114	32	0
ADAP2	55803	81	80	21	-	608635	35	0
ADAR	103	1768	1377	1741	88	146920	719	33
ADARB1	104	175	162	54	8	601218	52	1
ADARB2	105	132	132	76	5	602065	84	0
ADARB2-AS1	642394	16	16	-	-	-	2	0
ADAT1	23536	83	83	38	-	604230	52	0
ADAT2	134637	24	24	9	1	615388	11	0
ADAT3	113179	191	141	156	3	615302	87	6
ADCK1	57143	54	54	30	-	620399	38	0
ADCK2	90956	88	87	43	-	-	38	0
ADCK5	203054	105	102	30	-	-	44	0
ADCY1	107	371	293	348	1	103072	90	2
ADCY10	55811	629	513	608	26	605205	207	7
ADCY2	108	153	152	40	3	103071	39	0
ADCY3	109	313	276	284	1	600291	107	5
ADCY4	196883	83	82	59	-	600292	55	0
ADCY5	111	1059	769	1029	51	600293	271	36
ADCY6	112	147	134	135	3	600294	65	2
ADCY6-DT	100506125	1	1	-	-	-	-	-
ADCY7	113	91	90	66	-	600385	54	1
ADCY8	114	123	123	60	-	103070	61	0
ADCY9	115	142	137	87	5	603302	69	0
ADCYAP1	116	168	163	9	-	102980	36	0
ADCYAP1R1	117	53	53	22	-	102981	27	0
ADD1	118	169	168	44	4	102680	40	0
ADD2	119	47	47	35	-	102681	32	0
ADD3	120	240	209	211	2	601568	107	2
ADD3-AS1	100505933	7	7	-	-	-	1	0
ADGB	79747	114	114	98	2	614630	98	0
ADGB-DT	101928661	6	6	-	-	-	-	-
ADGRA1	84435	159	159	45	1	612302	60	0
ADGRA1-AS1	100128127	43	43	-	-	-	6	0
ADGRA2	25960	180	177	93	1	606823	114	0
ADGRA3	166647	1085	967	1046	1	612303	600	11
ADGRB1	575	145	145	85	1	602682	80	0
ADGRB2	576	285	269	270	1	602683	131	1
ADGRB3	577	72	72	60	6	602684	61	0
ADGRB3-DT	101928307	2	2	-	-	-	-	-
ADGRD1	283383	65	64	43	-	613639	41	0
ADGRD1-AS1	105755954	12	12	-	-	-	3	0
ADGRD2	347088	30	30	2	-	620837	1	0
ADGRE1	2015	83	82	72	-	600493	58	0
ADGRE2	30817	536	477	519	5	606100	226	17
ADGRE3	84658	56	56	37	-	606101	41	0
ADGRE5	976	91	91	74	-	601211	67	0
ADGRF1	266977	64	64	56	-	617430	47	0
ADGRF2	222611	45	45	35	-	620872	36	0
ADGRF3	165082	92	91	69	2	620873	66	0
ADGRF4	221393	58	58	49	-	614268	49	0
ADGRF5	221395	79	79	71	-	-	66	0
ADGRF5-AS1	101926962	2	2	-	-	-	-	-
ADGRG1	9289	1348	962	1319	103	604110	188	57
ADGRG2	10149	256	240	66	11	300572	49	0
ADGRG3	222487	69	68	42	-	618441	39	0
ADGRG4	139378	348	331	169	1	301085	131	3
ADGRG5	221188	67	66	38	-	616965	41	0
ADGRG6	57211	191	169	175	8	612243	80	2
ADGRG7	84873	79	78	63	-	612307	51	0
ADGRL1	22859	159	150	142	20	616416	111	0
ADGRL1-AS1	100507373	141	133	1	18	-	102	0
ADGRL2	23266	113	108	97	-	607018	61	1
ADGRL3	23284	73	73	43	-	616417	52	0
ADGRL3-AS1	101927186	8	8	-	-	-	-	-
ADGRL4	64123	58	58	36	-	616419	44	0
ADGRV1	84059	9237	6292	9178	588	602851	1691	627
ADH1A	124	32	32	16	-	103700	16	0
ADH1B	125	58	57	37	1	103720	30	0
ADH1C	126	51	49	30	-	103730	18	0
ADH4	127	47	47	30	-	103740	32	0
ADH5	128	37	36	20	3	103710	18	0
ADH6	130	32	32	17	-	103735	17	0
ADH7	131	58	58	37	-	600086	31	0
ADHFE1	137872	49	49	23	-	611083	23	0
ADI1	55256	46	45	9	-	613400	20	0
ADIG	149685	15	15	9	-	611396	8	0
ADIPINT	125906382	13	13	-	-	-	-	-
ADIPOQ	9370	70	68	22	3	605441	13	0
ADIPOQ-AS1	100874095	36	35	-	2	-	9	0
ADIPOR1	51094	178	174	160	1	607945	86	0
ADIPOR2	79602	73	73	4	1	607946	9	0
ADIRF	10974	53	51	4	-	-	6	0
ADIRF-AS1	100133190	53	51	-	-	-	6	0
ADISSP	54976	44	43	1	-	620373	15	0
ADK	132	179	151	158	13	102750	60	2
ADM	133	29	29	15	-	103275	12	0
ADM-DT	105376544	4	4	-	-	-	1	0
ADM2	79924	174	171	17	2	608682	26	0
ADM5	199800	24	24	11	-	-	13	0
ADNP	23394	1037	679	1012	133	611386	304	46
ADNP-AS1	101927631	175	129	-	12	-	53	0
ADNP2	22850	257	250	74	1	617422	77	0
ADO	84890	31	31	11	-	611392	14	0
ADORA1	134	42	39	24	-	102775	18	0
ADORA2A	135	128	124	25	1	102776	59	0
ADORA2A-AS1	646023	64	60	-	-	-	42	0
ADORA2B	136	69	69	23	7	600446	36	0
ADORA3	140	25	25	10	-	600445	9	0
ADPGK	83440	70	69	30	-	611861	36	0
ADPGK-AS1	100287559	16	16	-	-	-	6	0
ADPRH	141	35	35	16	-	603081	20	0
ADPRHL1	113622	166	166	45	-	610620	43	0
ADPRM	56985	35	35	13	-	-	19	0
ADPRS	54936	92	73	78	15	610624	39	2
ADRA1A	148	114	114	33	-	104221	31	0
ADRA1B	147	50	50	31	-	104220	29	0
ADRA1D	146	74	73	41	-	104219	45	0
ADRA2A	150	65	63	36	1	104210	28	0
ADRA2B	151	117	112	52	2	104260	61	1
ADRA2C	152	144	144	37	-	104250	29	0
ADRB1	153	68	64	39	-	109630	22	0
ADRB2	154	61	55	45	-	109690	12	0
ADRB3	155	102	94	36	-	109691	29	0
ADRM1	11047	49	47	21	-	610650	26	0
ADSL	158	1154	861	1128	72	608222	501	39
ADSS1	122622	541	472	472	27	612498	213	2
ADSS2	159	116	114	20	2	103060	27	0
ADTRP	84830	39	39	14	-	614348	15	0
AEBP1	165	638	533	613	33	602981	190	3
AEBP2	121536	68	68	31	-	617934	32	0
AEN	64782	57	56	25	-	610177	24	0
AFAP1	60312	146	146	63	3	608252	65	0
AFAP1-AS1	84740	54	54	-	-	619779	18	0
AFAP1L1	134265	59	58	43	-	614410	46	0
AFAP1L2	84632	147	136	69	1	612420	69	0
AFDN	4301	86	86	17	4	159559	17	0
AFDN-DT	653483	19	19	-	-	-	-	-
AFF1	4299	134	133	99	3	159557	90	0
AFF1-AS1	100506746	10	10	-	-	-	-	-
AFF2	2334	564	468	352	20	300806	182	7
AFF3	3899	183	168	158	13	601464	89	1
AFF4	27125	632	486	612	5	604417	247	15
AFF4-DT	124901065	5	5	-	-	-	-	-
AFG1L	246269	55	54	32	-	617469	35	0
AFG2A	166378	1030	802	412	107	613940	365	20
AFG2B	79029	150	116	122	18	619578	74	3
AFG3L2	10939	830	547	727	61	604581	196	19
AFM	173	67	67	43	-	104145	44	0
AFMID	125061	42	42	28	-	-	24	0
AFP	174	68	68	44	3	104150	29	0
AFTPH	54812	67	67	53	1	619628	50	0
AFTPH-DT	101927402	3	3	-	-	-	-	-
AGA	175	899	615	812	104	613228	147	20
AGA-DT	285500	37	37	-	1	-	1	0
AGAP1	116987	360	345	266	12	608651	150	1
AGAP1-IT1	100506749	23	23	-	-	-	1	0
AGAP10	728127	107	103	-	-	-	15	0
AGAP11	119385	52	50	2	1	-	4	0
AGAP2	116986	89	85	77	-	605476	60	0
AGAP2-AS1	100130776	19	19	-	-	-	14	0
AGAP3	116988	129	129	51	1	616813	53	0
AGAP4	119016	111	111	73	-	-	74	0
AGAP5	729092	60	60	41	-	-	41	0
AGAP6	414189	122	122	61	-	-	75	0
AGAP9	642517	115	111	2	-	-	15	0
AGBL1	123624	163	156	114	4	615496	101	1
AGBL1-AS1	727915	7	7	-	-	-	-	-
AGBL2	79841	58	56	45	1	617345	32	0
AGBL3	340351	90	90	55	2	617346	47	0
AGBL4	84871	100	100	36	-	616476	71	0
AGBL4-AS1	101929721	6	6	-	-	-	3	0
AGBL4-IT1	100874313	7	7	-	-	-	3	0
AGBL5	60509	757	681	736	36	615900	380	6
AGBL5-AS1	100874031	8	8	-	-	-	2	0
AGER	177	55	53	44	-	600214	33	2
AGFG1	3267	49	49	24	-	600862	21	0
AGFG2	3268	51	51	27	-	604019	28	0
AGGF1	55109	54	52	44	1	608464	33	0
AGK	55750	589	394	541	46	610345	134	23
AGK-DT	105375538	25	23	-	-	-	3	0
AGL	178	4363	2666	4341	555	610860	932	66
AGMAT	79814	57	57	30	1	617887	29	0
AGMO	392636	162	149	95	3	613738	89	2
AGO1	26523	130	100	115	11	606228	55	2
AGO2	27161	173	158	112	14	606229	62	0
AGO3	192669	63	57	47	3	607355	25	0
AGO4	192670	44	43	30	-	607356	34	0
AGPAT1	10554	13	13	3	-	603099	8	0
AGPAT2	10555	408	252	338	29	603100	96	15
AGPAT3	56894	127	117	18	1	614794	26	0
AGPAT4	56895	46	45	10	-	614795	17	0
AGPAT4-IT1	79992	14	14	-	-	-	1	0
AGPAT5	55326	150	149	28	1	614796	37	0
AGPS	8540	909	772	877	25	603051	181	16
AGR2	10551	67	64	20	4	606358	22	1
AGR3	155465	62	62	9	-	609482	20	0
AGRN	375790	3026	2353	2869	56	103320	1047	46
AGRP	181	45	42	16	-	602311	15	0
AGT	183	334	230	281	10	106150	86	14
AGTPBP1	23287	139	130	102	23	606830	66	1
AGTR1	185	178	142	158	12	106165	71	5
AGTR2	186	222	199	61	-	300034	36	1
AGTRAP	57085	66	66	17	-	608729	26	0
AGXT	189	1700	1008	1588	337	604285	113	39
AGXT2	64902	70	69	43	-	612471	39	0
AHCTF1	25909	210	209	117	1	610853	115	0
AHCY	191	369	298	341	11	180960	133	18
AHCYL1	10768	29	29	10	-	607826	12	0
AHCYL2	23382	51	51	24	2	616520	26	0
AHDC1	27245	1560	1104	1543	141	615790	434	46
AHI1	54806	2284	1563	2247	245	608894	532	74
AHI1-DT	100131814	6	6	-	1	-	-	-
AHNAK	79026	538	523	522	3	103390	370	4
AHNAK2	113146	1175	1134	1106	1	608570	654	26
AHR	196	532	499	473	7	600253	278	0
AHRR	57491	233	231	72	-	606517	77	0
AHSA1	10598	35	35	13	-	608466	17	0
AHSG	197	98	92	56	2	138680	27	0
AHSP	51327	21	21	9	-	605821	8	0
AICDA	57379	369	280	325	32	605257	119	7
AIDA	64853	42	41	9	1	612375	16	0
AIF1	199	20	20	11	-	601833	12	0
AIF1L	83543	42	42	7	-	-	14	0
AIFM1	9131	905	651	730	41	300169	193	29
AIFM2	84883	42	42	26	-	605159	28	0
AIFM3	150209	460	440	43	2	617298	93	0
AIG1	51390	25	25	10	-	608514	13	0
AIM2	9447	36	32	24	-	604578	19	1
AIMP1	9255	155	125	137	15	603605	60	2
AIMP2	7965	226	203	149	19	600859	94	2
AIP	9049	1655	1000	1636	58	605555	496	55
AIPL1	23746	1045	582	1022	64	604392	227	45
AIRE	326	1939	1266	1838	203	607358	346	30
AIRIM	54955	11	11	1	-	614799	5	0
AIRN	100271873	24	23	-	-	604893	3	0
AJAP1	55966	107	107	28	5	610972	30	0
AJM1	389813	67	59	-	-	-	6	0
AJUBA	84962	45	44	22	-	609066	23	0
AK1	203	123	100	79	10	103000	22	0
AK2	204	266	211	252	30	103020	84	4
AK3	50808	195	194	21	-	609290	33	0
AK4	205	37	37	12	-	103030	16	0
AK5	26289	59	59	36	1	608009	38	0
AK6	102157402	12	12	-	-	619357	8	0
AK7	122481	389	360	364	3	615364	182	1
AK8	158067	87	84	43	3	615365	48	0
AK9	221264	139	137	103	6	615358	93	0
AKAIN1	642597	131	126	2	-	616427	8	0
